- * / * / intervalo.inicio / - / instancia.d[tarea] instancia.p[tarea] null null instancia.d[tarea] instancia.p[tarea] promedioDuraciones() - instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null instancia.d[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / - + instancia.p[tarea] intervalo.inicio Math.max instancia.p[tarea] intervalo.inicio null null null null instancia.d[tarea] + null null null null null null null null null null null null null null Math.min - null null null null null null null null null null null null null null null null null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio intervalo.inicio 1.0 null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ Math.max / * Math.max / + + - + * instancia.p[tarea] instancia.d[tarea] - intervalo.inicio - instancia.p[tarea] promedioDuraciones() intervalo.inicio - intervalo.inicio / instancia.d[tarea] null null null null promedioDuraciones() instancia.d[tarea] null null promedioDuraciones() instancia.d[tarea] null null null null null null promedioDuraciones() instancia.d[tarea] null null promedioDuraciones() instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / Math.max * Math.max instancia.d[tarea] intervalo.inicio 0.7 instancia.d[tarea] * intervalo.inicio null null null null null null null null 0.8 instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / Math.max Math.max Math.max Math.min * Math.min * + instancia.d[tarea] instancia.p[tarea] instancia.p[tarea] Math.max 0.9 intervalo.inicio instancia.p[tarea] Math.max 0.9 intervalo.inicio instancia.p[tarea] null null null null null null intervalo.inicio promedioDuraciones() null null null null null null intervalo.inicio promedioDuraciones() null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
- + instancia.p[tarea] Math.min * null null + / 0.8 instancia.p[tarea] null null null null - * intervalo.inicio intervalo.inicio null null null null null null null null null null null null intervalo.inicio instancia.d[tarea] 0.9 instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
- Math.max null Math.min - null null instancia.p[tarea] intervalo.inicio instancia.d[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ Math.min * / - Math.max Math.max + Math.max Math.max - instancia.d[tarea] intervalo.inicio promedioDuraciones() instancia.p[tarea] - instancia.p[tarea] instancia.d[tarea] instancia.d[tarea] instancia.p[tarea] intervalo.inicio instancia.d[tarea] promedioDuraciones() null null null null null null null null instancia.d[tarea] promedioDuraciones() null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
- Math.min + * Math.max / + instancia.d[tarea] / intervalo.inicio 0.9 promedioDuraciones() instancia.p[tarea] Math.min + null null promedioDuraciones() instancia.p[tarea] null null null null null null null null / instancia.p[tarea] Math.max instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null promedioDuraciones() 0.9 null null promedioDuraciones() instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
Math.min / Math.min instancia.p[tarea] Math.pow / / null null - null / * instancia.p[tarea] * null null null null intervalo.inicio instancia.d[tarea] null null promedioDuraciones() 0.6 0.6 * null null instancia.p[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null instancia.p[tarea] instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
- * Math.max + Math.pow instancia.d[tarea] + instancia.p[tarea] instancia.p[tarea] 0.4 null null null intervalo.inicio instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
- - / * / Math.min - / - Math.min - instancia.d[tarea] promedioDuraciones() - / 0.4 instancia.p[tarea] promedioDuraciones() instancia.d[tarea] intervalo.inicio intervalo.inicio intervalo.inicio instancia.d[tarea] null null null null intervalo.inicio instancia.d[tarea] Math.min - null null null null null null null null null null null null null null null null null null null null null null null null null null null null instancia.d[tarea] promedioDuraciones() intervalo.inicio instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
+ Math.min - + Math.max intervalo.inicio instancia.d[tarea] Math.max + promedioDuraciones() instancia.p[tarea] null null null null intervalo.inicio intervalo.inicio Math.max - null null null null null null null null null null null null null null null null instancia.p[tarea] instancia.p[tarea] intervalo.inicio instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
- / - instancia.d[tarea] 0.5 - Math.min null null null null + - instancia.d[tarea] + null null null null null null null null Math.max / Math.max null null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null promedioDuraciones() instancia.p[tarea] instancia.d[tarea] 0.3 intervalo.inicio instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* - / - instancia.d[tarea] + * + instancia.p[tarea] null null promedioDuraciones() instancia.d[tarea] + instancia.p[tarea] promedioDuraciones() intervalo.inicio null null null null null null null null null null promedioDuraciones() instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ + * intervalo.inicio Math.max + Math.max null null instancia.p[tarea] instancia.p[tarea] instancia.p[tarea] / instancia.d[tarea] + null null null null null null null null null null intervalo.inicio 0.4 null null intervalo.inicio Math.max null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null instancia.p[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ Math.max * instancia.p[tarea] intervalo.inicio instancia.d[tarea] * null null null null null null instancia.d[tarea] * null null null null null null null null null null null null null null instancia.d[tarea] + null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
- * Math.max / intervalo.inicio * - + Math.max null null 0.8 instancia.p[tarea] instancia.d[tarea] intervalo.inicio intervalo.inicio instancia.p[tarea] instancia.d[tarea] + null null null null null null null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
Math.min Math.min + + / promedioDuraciones() - - Math.min instancia.d[tarea] instancia.p[tarea] null null / Math.max intervalo.inicio instancia.d[tarea] promedioDuraciones() instancia.p[tarea] null null null null null null null null promedioDuraciones() instancia.p[tarea] instancia.p[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / instancia.p[tarea] / Math.max null null / Math.max - instancia.p[tarea] null null null null intervalo.inicio intervalo.inicio - instancia.p[tarea] instancia.d[tarea] intervalo.inicio null null null null null null null null null null null null null null instancia.d[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / Math.max / Math.max - instancia.p[tarea] instancia.p[tarea] + - instancia.p[tarea] instancia.d[tarea] Math.min null null null null instancia.d[tarea] intervalo.inicio instancia.d[tarea] Math.min null null null null intervalo.inicio instancia.d[tarea] null null null null null null null null null null null null null null intervalo.inicio instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
- - Math.max instancia.p[tarea] Math.max - * null null Math.max + instancia.p[tarea] intervalo.inicio 0.2 instancia.p[tarea] null null null null instancia.d[tarea] intervalo.inicio instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
- - Math.max instancia.p[tarea] * * - null null instancia.p[tarea] 0.8 instancia.p[tarea] 0.8 instancia.d[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
Math.min + - - * intervalo.inicio instancia.d[tarea] - / - Math.max null null null null 0.2 0.9 - instancia.p[tarea] 0.2 0.9 instancia.p[tarea] instancia.p[tarea] null null null null null null null null null null null null instancia.p[tarea] instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
- Math.min instancia.d[tarea] - Math.min null null * - - 0.7 null null null null instancia.p[tarea] 1.0 instancia.d[tarea] intervalo.inicio - * null null null null null null null null null null null null null null null null null null instancia.d[tarea] intervalo.inicio instancia.p[tarea] 0.7 null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ promedioDuraciones() + null null Math.max Math.max null null null null * / / / null null null null null null null null 0.2 / - / instancia.p[tarea] - instancia.p[tarea] 0.2 null null null null null null null null null null null null null null null null null null promedioDuraciones() 0.3 instancia.d[tarea] intervalo.inicio instancia.p[tarea] instancia.d[tarea] null null instancia.d[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / + / Math.max * instancia.p[tarea] instancia.p[tarea] intervalo.inicio * - 0.5 intervalo.inicio null null null null null null / intervalo.inicio instancia.d[tarea] intervalo.inicio null null null null null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ instancia.p[tarea] * null null Math.max + null null null null * - / Math.max null null null null null null null null instancia.p[tarea] 0.9 instancia.d[tarea] intervalo.inicio instancia.p[tarea] 0.9 * - null null null null null null null null null null null null null null null null null null null null null null null null null null null null promedioDuraciones() 0.9 instancia.d[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ + * instancia.d[tarea] intervalo.inicio instancia.d[tarea] Math.max null null null null null null instancia.p[tarea] - null null null null null null null null null null null null null null instancia.d[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ + * + Math.max + Math.max promedioDuraciones() instancia.p[tarea] instancia.p[tarea] instancia.p[tarea] * + - Math.max null null null null null null null null promedioDuraciones() intervalo.inicio + Math.max instancia.d[tarea] intervalo.inicio instancia.p[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null instancia.p[tarea] instancia.p[tarea] instancia.p[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* + / instancia.p[tarea] promedioDuraciones() - / null null null null + - Math.max / null null null null null null null null instancia.p[tarea] promedioDuraciones() instancia.d[tarea] intervalo.inicio instancia.p[tarea] promedioDuraciones() instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / Math.pow + Math.pow Math.max null intervalo.inicio + Math.max null + instancia.d[tarea] null null null null promedioDuraciones() instancia.p[tarea] + instancia.d[tarea] null null intervalo.inicio instancia.p[tarea] null null null null null null null null null null null null null null promedioDuraciones() intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ Math.max Math.max / / Math.pow Math.pow Math.max + + Math.max intervalo.inicio null instancia.d[tarea] null promedioDuraciones() intervalo.inicio instancia.p[tarea] instancia.p[tarea] instancia.d[tarea] + instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null instancia.d[tarea] instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
